Designator,Mid X,Mid Y,Rotation,Layer
U213,-135.1081,-17.0688,180.0,top
U214,-135.1081,-24.384,180.0,top
U215,-135.1081,-31.6992,180.0,top
U216,-135.1081,-39.0144,180.0,top
U217,-135.1081,-46.3296,180.0,top
U218,-135.1081,-53.6448,180.0,top
U219,-135.1081,-60.96,180.0,top
U22,-222.8905,-24.384,180.0,top
U220,-135.1081,-68.2752,180.0,top
U221,-135.1081,-75.5904,180.0,top
U222,-135.1081,-82.9056,180.0,top
U223,-135.1081,-90.2208,180.0,top
U224,-135.1081,-97.536,180.0,top
U225,-127.7929,12.192,180.0,top
U226,-127.7929,4.8768,180.0,top
U227,-127.7929,-2.4384,180.0,top
U228,-127.7929,-9.7536,180.0,top
U229,-127.7929,-17.0688,180.0,top
U23,-222.8905,-31.6992,180.0,top
U230,-127.7929,-24.384,180.0,top
U231,-127.7929,-31.6992,180.0,top
U232,-127.7929,-39.0144,180.0,top
U233,-127.7929,-46.3296,180.0,top
U234,-127.7929,-53.6448,180.0,top
U235,-127.7929,-60.96,180.0,top
U236,-127.7929,-68.2752,180.0,top
U237,-127.7929,-75.5904,180.0,top
U238,-127.7929,-82.9056,180.0,top
U239,-127.7929,-90.2208,180.0,top
U24,-222.8905,-39.0144,180.0,top
U240,-127.7929,-97.536,180.0,top
U241,-120.4777,12.192,180.0,top
U242,-120.4777,4.8768,180.0,top
U243,-120.4777,-2.4384,180.0,top
U244,-120.4777,-9.7536,180.0,top
U245,-120.4777,-17.0688,180.0,top
U246,-120.4777,-24.384,180.0,top
U247,-120.4777,-31.6992,180.0,top
U248,-120.4777,-39.0144,180.0,top
U249,-120.4777,-46.3296,180.0,top
U25,-222.8905,-46.3296,180.0,top
U250,-120.4777,-53.6448,180.0,top
U251,-120.4777,-60.96,180.0,top
U252,-120.4777,-68.2752,180.0,top
U253,-120.4777,-75.5904,180.0,top
U254,-120.4777,-82.9056,180.0,top
U255,-120.4777,-90.2208,180.0,top
U256,-120.4777,-97.536,180.0,top
U257,-226.6265,20.847,0.0,top
U258,-219.3113,29.7324,0.0,top
U259,-124.2137,20.8494,0.0,top
U26,-222.8905,-53.6448,180.0,top
U260,-212.0215,20.847,0.0,top
U261,-204.6909,29.737,0.0,top
U262,-116.9085,29.7688,0.0,top
U263,-197.358,20.8598,0.0,top
U264,-190.0605,29.7394,0.0,top
U265,-182.7353,20.8748,0.0,top
U266,-175.4201,29.7578,0.0,top
U267,-168.1049,20.8632,0.0,top
U268,-160.7897,29.7648,0.0,top
U269,-153.4745,20.8534,0.0,top
U27,-222.8905,-60.96,180.0,top
U270,-146.1516,29.7694,0.0,top
U271,-138.8441,20.8494,0.0,top
U272,-131.5212,29.7688,0.0,top
U273,-109.434,-35.808,180.0,top
U274,-109.18,-23.616,180.0,top
U275,-109.434,-50.159,180.0,top
U276,-104.902,29.972,0.0,top
U277,-104.713,17.526,180.0,top
U28,-222.8905,-68.2752,180.0,top
U29,-222.8905,-75.5904,180.0,top
U3,-230.2057,-2.4384,180.0,top
U30,-222.8905,-82.9056,180.0,top
